time_s;vx;vel_smo.get_vx();vy;vel_smo.get_vy();wz;vel_smo.get_wz();phase[0].get_state();phase[1].get_state();phase[2].get_state();phase[3].get_state();phase[0].is_centered();phase[1].is_centered();phase[2].is_centered();phase[3].is_centered()
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0030003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0060006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0090009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0120012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0150015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0180018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0210021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0240024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0270027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.030003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0330033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0360036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0390039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0420042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0450045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0480048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0510051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0540054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0570057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.060006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0630063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0660066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0690069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0720072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0750075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0780078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0810081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0840084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0870087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.090009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0930093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0960096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.0990099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.10201;0.05;0.00030003;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.10501;0.05;0.00060006;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.108011;0.05;0.00090009;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.111011;0.05;0.00120012;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.114011;0.05;0.00150015;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.117012;0.05;0.00180018;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.120012;0.05;0.00210021;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.123012;0.05;0.00240024;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.126013;0.05;0.00270027;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
0.129013;0.05;0.0030003;0;0;0;0;0;0;0;0;0;0;0;0;0.059;-0.05;-0.08
